MIN=0	-10	-10
MAX=2000	10	10
SCALE=2000	5	5
DEC=1	2	2
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V
0	0,03	-1,195
0,2	0,05	-1,195
0,4	0,03	-1,195
0,6	0,03	-1,195
0,8	0,025	-1,2
1	0,025	-1,195
1,2	0,03	-1,2
1,4	0,03	-1,2
1,6	0,03	-1,2
1,8	0,025	-1,2
2	0,03	-1,2
2,2	0,03	-1,2
2,4	0,03	-1,2
2,6	0,035	-1,205
2,8	0,03	-1,205
3	0,03	-1,205
3,2	0,035	-1,205
3,4	0,03	-1,21
3,6	0,03	-1,21
3,8	0,03	-1,205
4	0,03	-1,21
4,2	0,03	-1,21
4,4	0,03	-1,21
4,6	0,03	-1,21
4,8	0,035	-1,21
5	0,035	-1,21
5,2	0,045	-1,215
5,4	0,035	-1,21
5,6	0,035	-1,215
5,8	0,035	-1,215
6	0,035	-1,21
6,2	0,035	-1,215
6,4	0,035	-1,215
6,6	0,035	-1,215
6,8	0,035	-1,22
7	0,035	-1,215
7,2	0,04	-1,22
7,4	0,035	-1,22
7,6	0,04	-1,22
7,8	0,035	-1,22
8	0,035	-1,22
8,2	0,04	-1,22
8,4	0,035	-1,22
8,6	0,03	-1,225
8,8	0,035	-1,22
9	0,035	-1,225
9,2	0,03	-1,23
9,4	0,035	-1,225
9,6	0,035	-1,225
9,8	0,035	-1,225
10	0,035	-1,225
10,2	0,03	-1,23
10,4	0,035	-1,225
10,6	0,035	-1,23
10,8	0,055	-1,23
11	0,035	-1,23
11,2	0,035	-1,23
11,4	0,03	-1,23
11,6	0,035	-1,23
11,8	0,035	-1,235
12	0,035	-1,235
12,2	0,03	-1,23
12,4	0,03	-1,235
12,6	0,03	-1,235
12,8	0,035	-1,24
13	0,035	-1,235
13,2	0,04	-1,235
13,4	0,035	-1,24
13,6	0,03	-1,24
13,8	0,035	-1,235
14	0,035	-1,24
14,2	0,035	-1,24
14,4	0,03	-1,245
14,6	0,035	-1,245
14,8	0,03	-1,24
15	0,035	-1,245
15,2	0,03	-1,245
15,4	0,035	-1,245
15,6	0,03	-1,245
15,8	0,03	-1,245
16	0,035	-1,245
16,2	0,03	-1,25
16,4	0,035	-1,25
16,6	0,035	-1,25
16,8	0,03	-1,25
17	0,03	-1,25
17,2	0,03	-1,25
17,4	0,03	-1,255
17,6	0,03	-1,255
17,8	0,03	-1,255
18	0,03	-1,25
18,2	0,03	-1,25
18,4	0,03	-1,255
18,6	0,03	-1,26
18,8	0,03	-1,255
19	0,03	-1,255
19,2	0,03	-1,255
19,4	0,03	-1,26
19,6	0,03	-1,26
19,8	0,035	-1,26
20	0,035	-1,26
20,2	0,055	-1,26
20,4	0,035	-1,26
20,6	0,03	-1,26
20,8	0,035	-1,265
21	0,035	-1,26
21,2	0,035	-1,265
21,4	0,04	-1,265
21,6	0,04	-1,26
21,8	0,035	-1,27
22	0,035	-1,27
22,2	0,04	-1,27
22,4	0,04	-1,27
22,6	0,045	-1,265
22,8	0,04	-1,27
23	0,04	-1,27
23,2	0,045	-1,265
23,4	0,04	-1,27
23,6	0,035	-1,27
23,8	0,035	-1,27
24	0,04	-1,275
24,2	0,035	-1,275
24,4	0,035	-1,27
24,6	0,035	-1,28
24,8	0,04	-1,275
25	0,04	-1,275
25,2	0,035	-1,28
25,4	0,035	-1,28
25,6	0,035	-1,28
25,8	0,04	-1,28
26	0,035	-1,275
26,2	0,035	-1,28
26,4	0,035	-1,275
26,6	0,035	-1,275
26,8	0,035	-1,28
27	0,035	-1,285
27,2	0,035	-1,28
27,4	0,035	-1,285
27,6	0,045	-1,28
27,8	0,04	-1,285
28	0,04	-1,285
28,2	0,04	-1,285
28,4	0,04	-1,285
28,6	0,05	-1,29
28,8	0,04	-1,285
29	0,045	-1,285
29,2	0,04	-1,29
29,4	0,045	-1,285
29,6	0,05	-1,29
29,8	0,045	-1,29
30	0,045	-1,29
30,2	0,045	-1,295
30,4	0,045	-1,29
30,6	0,045	-1,29
30,8	0,045	-1,295
31	0,05	-1,29
31,2	0,045	-1,295
31,4	0,04	-1,295
31,6	0,045	-1,29
31,8	0,045	-1,295
32	0,045	-1,3
32,2	0,045	-1,295
32,4	0,04	-1,3
32,6	0,045	-1,3
32,8	0,045	-1,3
33	0,04	-1,3
33,2	0,04	-1,295
33,4	0,045	-1,3
33,6	0,035	-1,3
33,8	0,045	-1,3
34	0,035	-1,3
34,2	0,04	-1,305
34,4	0,035	-1,305
34,6	0,035	-1,305
34,8	0,04	-1,305
35	0,035	-1,305
35,2	0,035	-1,305
35,4	0,045	-1,305
35,6	0,035	-1,31
35,8	0,035	-1,31
36	0,04	-1,305
36,2	0,035	-1,31
36,4	0,035	-1,31
36,6	0,035	-1,31
36,8	0,035	-1,31
37	0,04	-1,31
37,2	0,035	-1,315
37,4	0,035	-1,315
37,6	0,04	-1,315
37,8	0,04	-1,315
38	0,035	-1,315
38,2	0,04	-1,31
38,4	0,04	-1,315
38,6	0,035	-1,32
38,8	0,04	-1,315
39	0,035	-1,32
39,2	0,035	-1,315
39,4	0,035	-1,32
39,6	0,035	-1,32
39,8	0,035	-1,32
40	0,035	-1,325
40,2	0,03	-1,32
40,4	0,035	-1,32
40,6	0,035	-1,32
40,8	0,035	-1,325
41	0,035	-1,32
41,2	0,035	-1,325
41,4	0,035	-1,325
41,6	0,035	-1,325
41,8	0,035	-1,33
42	0,03	-1,325
42,2	0,03	-1,33
42,4	0,035	-1,33
42,6	0,035	-1,325
42,8	0,035	-1,33
43	0,03	-1,33
43,2	0,035	-1,325
43,4	0,035	-1,33
43,6	0,035	-1,33
43,8	0,035	-1,33
44	0,035	-1,335
44,2	0,04	-1,335
44,4	0,035	-1,335
44,6	0,035	-1,335
44,8	0,04	-1,33
45	0,04	-1,335
45,2	0,05	-1,335
45,4	0,04	-1,335
45,6	0,04	-1,335
45,8	0,04	-1,34
46	0,04	-1,335
46,2	0,04	-1,34
46,4	0,035	-1,34
46,6	0,04	-1,34
46,8	0,04	-1,34
47	0,04	-1,34
47,2	0,045	-1,345
47,4	0,045	-1,34
47,6	0,04	-1,34
47,8	0,045	-1,345
48	0,04	-1,34
48,2	0,04	-1,34
48,4	0,04	-1,345
48,6	0,035	-1,345
48,8	0,04	-1,34
49	0,04	-1,35
49,2	0,035	-1,35
49,4	0,04	-1,345
49,6	0,04	-1,345
49,8	0,04	-1,345
50	0,04	-1,35
50,2	0,04	-1,355
50,4	0,04	-1,35
50,6	0,04	-1,35
50,8	0,04	-1,35
51	0,04	-1,35
51,2	0,04	-1,35
51,4	0,035	-1,355
51,6	0,04	-1,35
51,8	0,04	-1,355
52	0,04	-1,355
52,2	0,04	-1,355
52,4	0,04	-1,355
52,6	0,04	-1,355
52,8	0,04	-1,36
53	0,04	-1,36
53,2	0,04	-1,355
53,4	0,04	-1,36
53,6	0,04	-1,36
53,8	0,04	-1,355
54	0,035	-1,36
54,2	0,04	-1,36
54,4	0,035	-1,365
54,6	0,04	-1,365
54,8	0,04	-1,36
55	0,035	-1,365
55,2	0,04	-1,365
55,4	0,045	-1,365
55,6	0,04	-1,37
55,8	0,04	-1,37
56	0,04	-1,365
56,2	0,04	-1,37
56,4	0,04	-1,365
56,6	0,04	-1,375
56,8	0,035	-1,37
57	0,045	-1,365
57,2	0,04	-1,37
57,4	0,035	-1,37
57,6	0,035	-1,37
57,8	0,035	-1,37
58	0,035	-1,37
58,2	0,035	-1,37
58,4	0,035	-1,375
58,6	0,03	-1,375
58,8	0,035	-1,375
59	0,035	-1,375
59,2	0,035	-1,375
59,4	0,035	-1,375
59,6	0,04	-1,375
59,8	0,03	-1,375
60	0,035	-1,375
60,2	0,03	-1,38
60,4	0,035	-1,375
60,6	0,035	-1,38
60,8	0,035	-1,38
61	0,035	-1,38
61,2	0,04	-1,38
61,4	0,035	-1,38
61,6	0,04	-1,38
61,8	0,04	-1,385
62	0,04	-1,38
62,2	0,04	-1,385
62,4	0,055	-1,385
62,6	0,045	-1,385
62,8	0,045	-1,385
63	0,045	-1,385
63,2	0,045	-1,385
63,4	0,045	-1,39
63,6	0,05	-1,39
63,8	0,045	-1,385
64	0,05	-1,39
64,2	0,045	-1,39
64,4	0,045	-1,39
64,6	0,05	-1,39
64,8	0,05	-1,385
65	0,045	-1,39
65,2	0,045	-1,39
65,4	0,045	-1,39
65,6	0,04	-1,39
65,8	0,04	-1,395
66	0,045	-1,39
66,2	0,04	-1,395
66,4	0,045	-1,39
66,6	0,045	-1,395
66,8	0,04	-1,395
67	0,04	-1,39
67,2	0,035	-1,395
67,4	0,04	-1,395
67,6	0,045	-1,395
67,8	0,04	-1,4
68	0,04	-1,4
68,2	0,045	-1,395
68,4	0,045	-1,4
68,6	0,04	-1,4
68,8	0,045	-1,395
69	0,045	-1,4
69,2	0,045	-1,4
69,4	0,045	-1,4
69,6	0,045	-1,4
69,8	0,05	-1,405
70	0,05	-1,405
70,2	0,05	-1,4
70,4	0,055	-1,405
70,6	0,05	-1,4
70,8	0,045	-1,405
71	0,05	-1,405
71,2	0,045	-1,405
71,4	0,05	-1,41
71,6	0,045	-1,405
71,8	0,05	-1,41
72	0,05	-1,41
72,2	0,045	-1,41
72,4	0,045	-1,41
72,6	0,045	-1,41
72,8	0,04	-1,41
73	0,045	-1,41
73,2	0,045	-1,41
73,4	0,04	-1,415
73,6	0,045	-1,415
73,8	0,04	-1,41
74	0,04	-1,415
74,2	0,04	-1,41
74,4	0,04	-1,415
74,6	0,04	-1,415
74,8	0,04	-1,41
75	0,04	-1,415
75,2	0,035	-1,415
75,4	0,04	-1,415
75,6	0,035	-1,42
75,8	0,035	-1,42
76	0,04	-1,415
76,2	0,035	-1,42
76,4	0,04	-1,42
76,6	0,045	-1,425
76,8	0,055	-1,425
77	0,04	-1,42
77,2	0,04	-1,42
77,4	0,04	-1,42
77,6	0,04	-1,42
77,8	0,045	-1,425
78	0,045	-1,425
78,2	0,045	-1,425
78,4	0,045	-1,425
78,6	0,045	-1,425
78,8	0,045	-1,425
79	0,065	-1,425
79,2	0,045	-1,425
79,4	0,045	-1,43
79,6	0,045	-1,425
79,8	0,05	-1,425
80	0,045	-1,43
80,2	0,045	-1,43
80,4	0,05	-1,425
80,6	0,045	-1,43
80,8	0,045	-1,43
81	0,045	-1,435
81,2	0,045	-1,43
81,4	0,045	-1,43
81,6	0,045	-1,435
81,8	0,055	-1,435
82	0,045	-1,43
82,2	0,05	-1,43
82,4	0,045	-1,435
82,6	0,05	-1,435
82,8	0,045	-1,435
83	0,05	-1,44
